time,solar,wind,consume,battery,grid
2026-05-04 14:15:06,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:07,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:08,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:09,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:10,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:11,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:12,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:13,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:15,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:16,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:17,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:18,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:19,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:20,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:21,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:22,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:23,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:24,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:25,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:26,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:27,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:28,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:29,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:30,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:31,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:32,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:33,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:34,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:35,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:36,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:37,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:38,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:39,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:40,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:41,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:42,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:43,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:44,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:46,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:47,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:48,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:49,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:50,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:51,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:52,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:53,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:54,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:55,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:56,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:57,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:15:58,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:15:59,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:16:00,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:16:01,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:16:02,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:16:03,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:16:04,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:16:05,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:16:06,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:16:07,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:16:08,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:16:09,83.5,94.2,153.2,79.7,43.8
2026-05-04 14:16:10,83.3,94.0,152.9,79.6,43.6
2026-05-04 14:16:37,72.7,88.6,151.5,78.8,42.3
2026-05-04 14:16:38,72.5,88.4,151.2,80.1,42.1
2026-05-04 14:16:39,72.7,88.6,151.5,81.3,42.3
2026-05-04 14:16:40,72.5,88.4,151.2,80.9,42.1
2026-05-04 14:16:41,72.7,88.6,151.5,81.2,42.3
2026-05-04 14:16:42,72.5,88.4,151.2,82.1,42.1
2026-05-04 14:16:43,72.7,88.6,151.5,83.0,42.3
2026-05-04 14:16:44,72.5,88.4,151.2,82.3,42.1
2026-05-04 14:16:45,72.7,88.6,151.5,82.9,42.3
2026-05-04 14:16:46,72.5,88.4,151.2,81.6,42.1
2026-05-04 14:16:48,72.7,88.6,151.5,82.3,42.3
2026-05-04 14:16:49,72.5,88.4,151.2,80.8,42.1
2026-05-04 14:16:50,72.7,88.6,151.5,81.8,42.3
2026-05-04 14:16:51,72.5,88.4,151.2,82.4,42.1
2026-05-04 14:16:52,72.7,88.6,151.5,83.3,42.3
2026-05-04 14:16:53,72.5,88.4,151.2,83.7,42.1
2026-05-04 14:16:54,72.7,88.6,151.5,82.4,42.3
2026-05-04 14:16:55,72.5,88.4,151.2,82.4,42.1
